Mouse,day,group,pellets,baseline_pellets,delta_pellets
0,2021-09-06,Uncertainty,42,68.71428571428571,-34.985968194574355
0,2021-09-07,Uncertainty,78,68.71428571428571,8.264462809917362
0,2021-09-08,Uncertainty,81,68.71428571428571,10.650154798761614
0,2021-09-09,Uncertainty,67,68.71428571428571,-1.6913319238900573
0,2021-09-11,Uncertainty,71,68.71428571428571,2.1694915254237346
0,2021-09-12,Uncertainty,76,68.71428571428571,6.601941747572821
0,2021-09-13,Uncertainty,73,68.71428571428571,3.992015968063878
0,2021-09-14,Uncertainty,82,68.71428571428571,11.418047882136284
0,2021-09-15,Uncertainty,79,68.71428571428571,9.073724007561442
0,2021-09-16,Uncertainty,84,68.71428571428571,12.914906457453235
0,2021-09-17,Uncertainty,36,68.71428571428571,-46.497461928933994
0,2021-09-18,Uncertainty,11,68.71428571428571,-127.24409448818896
0,2021-09-19,Uncertainty,48,68.71428571428571,-25.151777970511702
0,2021-09-20,Uncertainty,77,68.71428571428571,7.440667094291217
0,2021-09-21,Uncertainty,36,68.71428571428571,-46.497461928933994
0,2021-09-22,Uncertainty,54,68.71428571428571,-16.653193209377516
0,2021-09-23,Uncertainty,24,68.71428571428571,-76.6217870257038
1,2021-09-06,Uncertainty,60,50.857142857142854,10.70234113712375
1,2021-09-07,Uncertainty,73,50.857142857142854,22.49637155297533
1,2021-09-08,Uncertainty,75,50.857142857142854,24.0398293029872
1,2021-09-09,Uncertainty,65,50.857142857142854,15.639810426540288
1,2021-09-11,Uncertainty,69,50.857142857142854,19.21331316187595
1,2021-09-12,Uncertainty,62,50.857142857142854,12.745098039215689
1,2021-09-13,Uncertainty,57,50.857142857142854,7.452339688041598
1,2021-09-14,Uncertainty,28,50.857142857142854,-42.7807486631016
1,2021-09-15,Uncertainty,54,50.857142857142854,3.9568345323741045
1,2021-09-16,Uncertainty,60,50.857142857142854,10.70234113712375
1,2021-09-17,Uncertainty,54,50.857142857142854,3.9568345323741045
1,2021-09-18,Uncertainty,47,50.857142857142854,-5.325443786982245
1,2021-09-19,Uncertainty,55,50.857142857142854,5.150976909413858
1,2021-09-20,Uncertainty,54,50.857142857142854,3.9568345323741045
1,2021-09-21,Uncertainty,70,50.857142857142854,20.05988023952096
1,2021-09-22,Uncertainty,49,50.857142857142854,-2.4952015355086328
1,2021-09-23,Uncertainty,14,50.857142857142854,-93.4782608695652
2,2021-09-06,Uncertainty,56,73.71428571428571,-19.07692307692307
2,2021-09-07,Uncertainty,79,73.71428571428571,4.56226880394575
2,2021-09-08,Uncertainty,84,73.71428571428571,8.510638297872346
2,2021-09-09,Uncertainty,83,73.71428571428571,7.7473182359952375
2,2021-09-11,Uncertainty,12,73.71428571428571,-126.3157894736842
2,2021-09-13,Uncertainty,83,73.71428571428571,7.7473182359952375
2,2021-09-14,Uncertainty,54,73.71428571428571,-21.698113207547163
2,2021-09-15,Uncertainty,99,73.71428571428571,18.611987381703475
2,2021-09-16,Uncertainty,105,73.71428571428571,22.05438066465257
2,2021-09-17,Uncertainty,62,73.71428571428571,-11.849710982658952
2,2021-09-20,Uncertainty,56,73.71428571428571,-19.07692307692307
2,2021-09-21,Uncertainty,88,73.71428571428571,11.44164759725401
2,2021-09-22,Uncertainty,87,73.71428571428571,10.726643598615922
2,2021-09-23,Uncertainty,21,73.71428571428571,-91.11111111111111
3,2021-09-06,Uncertainty,50,56.142857142857146,-7.868252516010983
3,2021-09-07,Uncertainty,84,56.142857142857146,24.8565965583174
3,2021-09-08,Uncertainty,62,56.142857142857146,6.50277557494052
3,2021-09-09,Uncertainty,65,56.142857142857146,9.51650038372985
3,2021-09-11,Uncertainty,80,56.142857142857146,22.075346992729674
3,2021-09-12,Uncertainty,79,56.142857142857146,21.347565043362238
3,2021-09-13,Uncertainty,85,56.142857142857146,25.521162349968414
3,2021-09-14,Uncertainty,80,56.142857142857146,22.075346992729674
3,2021-09-15,Uncertainty,86,56.142857142857146,26.174076393237318
3,2021-09-16,Uncertainty,75,56.142857142857146,18.295218295218294
3,2021-09-17,Uncertainty,38,56.142857142857146,-27.459459459459467
3,2021-09-18,Uncertainty,39,56.142857142857146,-25.55910543130991
3,2021-09-19,Uncertainty,36,56.142857142857146,-31.43812709030101
3,2021-09-20,Uncertainty,50,56.142857142857146,-7.868252516010983
3,2021-09-21,Uncertainty,51,56.142857142857146,-6.50406504065041
3,2021-09-22,Uncertainty,96,56.142857142857146,32.12435233160622
3,2021-09-23,Uncertainty,9,56.142857142857146,-127.16763005780349
4,2021-09-06,Certainty,70,52.6,18.06853582554517
4,2021-09-07,Certainty,63,52.6,11.646136618141096
4,2021-09-08,Certainty,23,52.6,-60.040567951318465
4,2021-09-09,Certainty,67,52.6,15.434083601286172
4,2021-09-11,Certainty,71,52.6,18.910585817060635
4,2021-09-12,Certainty,42,52.6,-15.519765739385068
4,2021-09-13,Certainty,59,52.6,7.5029308323563875
4,2021-09-14,Certainty,25,52.6,-53.80116959064328
4,2021-09-15,Certainty,81,52.6,26.467847157502327
4,2021-09-16,Certainty,64,52.6,12.624584717607974
4,2021-09-17,Certainty,51,52.6,-2.0698576972833136
4,2021-09-18,Certainty,59,52.6,7.5029308323563875
4,2021-09-19,Certainty,49,52.6,-4.780876494023906
4,2021-09-20,Certainty,46,52.6,-9.128630705394194
4,2021-09-21,Certainty,35,52.6,-28.711256117455143
4,2021-09-22,Certainty,73,52.6,20.543806646525677
4,2021-09-23,Certainty,19,52.6,-74.17218543046359
5,2021-09-06,Certainty,65,60.714285714285715,4.494382022471909
5,2021-09-07,Certainty,62,60.714285714285715,1.3921113689095117
5,2021-09-08,Certainty,62,60.714285714285715,1.3921113689095117
5,2021-09-09,Certainty,65,60.714285714285715,4.494382022471909
5,2021-09-11,Certainty,56,60.714285714285715,-5.459057071960299
5,2021-09-12,Certainty,19,60.714285714285715,-84.51519536903038
5,2021-09-13,Certainty,63,60.714285714285715,2.448355011476663
5,2021-09-14,Certainty,38,60.714285714285715,-33.22884012539185
5,2021-09-15,Certainty,26,60.714285714285715,-61.596958174904934
5,2021-09-16,Certainty,69,60.714285714285715,8.339324227174693
5,2021-09-17,Certainty,47,60.714285714285715,-17.72853185595568
5,2021-09-18,Certainty,76,60.714285714285715,14.372061786433846
5,2021-09-19,Certainty,72,60.714285714285715,11.025819958129796
5,2021-09-20,Certainty,83,60.714285714285715,19.659735349716446
5,2021-09-22,Certainty,48,60.714285714285715,-16.226071103008206
5,2021-09-23,Certainty,11,60.714285714285715,-120.20725388601035
6,2021-09-06,Uncertainty,67,68.57142857142857,-1.5514809590973182
6,2021-09-07,Uncertainty,74,68.57142857142857,5.013192612137205
6,2021-09-08,Uncertainty,73,68.57142857142857,4.127829560585887
6,2021-09-09,Uncertainty,74,68.57142857142857,5.013192612137205
6,2021-09-11,Uncertainty,79,68.57142857142857,9.205548549810848
6,2021-09-12,Uncertainty,67,68.57142857142857,-1.5514809590973182
6,2021-09-13,Uncertainty,70,68.57142857142857,1.369863013698632
6,2021-09-14,Uncertainty,62,68.57142857142857,-6.824925816023737
6,2021-09-15,Uncertainty,52,68.57142857142857,-19.20529801324503
6,2021-09-16,Uncertainty,70,68.57142857142857,1.369863013698632
6,2021-09-17,Uncertainty,43,68.57142857142857,-33.08687615526802
6,2021-09-20,Uncertainty,61,68.57142857142857,-7.9460269865067445
6,2021-09-21,Uncertainty,59,68.57142857142857,-10.26033690658499
6,2021-09-22,Uncertainty,62,68.57142857142857,-6.824925816023737
6,2021-09-23,Uncertainty,9,68.57142857142857,-137.6237623762376
7,2021-09-06,Certainty,67,69.14285714285714,-2.109704641350207
7,2021-09-07,Certainty,74,69.14285714285714,4.4736842105263195
7,2021-09-08,Certainty,73,69.14285714285714,3.585657370517932
7,2021-09-09,Certainty,74,69.14285714285714,4.4736842105263195
7,2021-09-11,Certainty,79,69.14285714285714,8.679245283018872
7,2021-09-12,Certainty,67,69.14285714285714,-2.109704641350207
7,2021-09-13,Certainty,60,69.14285714285714,-9.66767371601208
7,2021-09-14,Certainty,71,69.14285714285714,1.7591339648173245
7,2021-09-15,Certainty,65,69.14285714285714,-4.1606886657101825
7,2021-09-16,Certainty,74,69.14285714285714,4.4736842105263195
7,2021-09-17,Certainty,42,69.14285714285714,-35.447761194029844
7,2021-09-18,Certainty,45,69.14285714285714,-30.341113105924595
7,2021-09-19,Certainty,43,69.14285714285714,-33.70165745856353
7,2021-09-20,Certainty,70,69.14285714285714,0.8196721311475449
7,2021-09-21,Certainty,57,69.14285714285714,-13.260530421216846
7,2021-09-22,Certainty,67,69.14285714285714,-2.109704641350207
8,2021-09-06,Certainty,108,80.85714285714286,18.286814244465827
8,2021-09-07,Certainty,114,80.85714285714286,21.46160962072155
8,2021-09-08,Certainty,95,80.85714285714286,10.44303797468354
8,2021-09-09,Certainty,103,80.85714285714286,15.438247011952186
8,2021-09-11,Certainty,69,80.85714285714286,-10.835509138381205
8,2021-09-12,Certainty,10,80.85714285714286,-140.5099150141643
8,2021-09-13,Certainty,21,80.85714285714286,-97.44186046511628
8,2021-09-14,Certainty,63,80.85714285714286,-17.26519337016575
8,2021-09-15,Certainty,106,80.85714285714286,17.17073170731707
8,2021-09-16,Certainty,56,80.85714285714286,-25.777777777777782
8,2021-09-17,Certainty,42,80.85714285714286,-47.14038128249567
8,2021-09-18,Certainty,22,80.85714285714286,-94.279176201373
8,2021-09-21,Certainty,11,80.85714285714286,-135.83333333333334
8,2021-09-22,Certainty,15,80.85714285714286,-118.81443298969072
9,2021-09-06,Certainty,108,90.42857142857143,11.468531468531467
9,2021-09-07,Certainty,78,90.42857142857143,-10.08695652173913
9,2021-09-08,Certainty,78,90.42857142857143,-10.08695652173913
9,2021-09-09,Certainty,89,90.42857142857143,-1.0643959552953715
9,2021-09-11,Certainty,74,90.42857142857143,-13.780707010185742
9,2021-09-12,Certainty,82,90.42857142857143,-6.625491297024146
9,2021-09-13,Certainty,81,90.42857142857143,-7.470288624787777
9,2021-09-14,Certainty,81,90.42857142857143,-7.470288624787777
9,2021-09-15,Certainty,91,90.42857142857143,0.4195070791819596
9,2021-09-16,Certainty,79,90.42857142857143,-9.200690051753883
9,2021-09-17,Certainty,45,90.42857142857143,-50.3562945368171
9,2021-09-18,Certainty,44,90.42857142857143,-52.041633306645316
9,2021-09-19,Certainty,74,90.42857142857143,-13.780707010185742
9,2021-09-20,Certainty,92,90.42857142857143,1.145236855804267
9,2021-09-21,Certainty,61,90.42857142857143,-27.706792199058505
9,2021-09-22,Certainty,77,90.42857142857143,-10.98772647574518
9,2021-09-23,Certainty,16,90.42857142857143,-121.58693115519253
